step,block_name,auc
23,U3R2,0.79691
24,D0R0,0.66140
24,D0R1,0.72520
24,D1R0,0.71860
24,D1R1,0.62271
24,D2R0,0.69820
24,D2R1,0.75363
24,D3R0,0.79266
24,D3R1,0.76955
24,MidR0,0.77096
24,MidR1,0.76731
24,U0R0,0.80245
24,U0R1,0.81189
24,U0R2,0.74455
24,U1R0,0.75292
24,U1R1,0.75162
24,U1R2,0.72332
24,U2R0,0.77934
24,U2R1,0.79113
24,U2R2,0.75162
24,U3R0,0.78229
24,U3R1,0.77474
24,U3R2,0.79667
25,D0R0,0.65869
25,D0R1,0.72131
25,D1R0,0.71683
25,D1R1,0.61269
25,D2R0,0.70527
25,D2R1,0.75186
25,D3R0,0.78193
25,D3R1,0.75893
25,MidR0,0.75716
25,MidR1,0.76978
25,U0R0,0.79290
25,U0R1,0.81637
25,U0R2,0.74136
25,U1R0,0.75705
25,U1R1,0.75032
25,U1R2,0.72414
25,U2R0,0.78040
25,U2R1,0.79903
25,U2R2,0.74761
25,U3R0,0.78323
25,U3R1,0.77320
25,U3R2,0.79797
26,D0R0,0.65821
26,D0R1,0.72108
26,D1R0,0.71848
26,D1R1,0.61540
26,D2R0,0.70433
26,D2R1,0.75103
26,D3R0,0.77592
26,D3R1,0.75398
26,MidR0,0.74337
26,MidR1,0.76955
26,U0R0,0.79160
26,U0R1,0.82097
26,U0R2,0.73818
26,U1R0,0.76424
26,U1R1,0.75941
26,U1R2,0.72615
26,U2R0,0.78783
26,U2R1,0.80351
26,U2R2,0.75080
26,U3R0,0.78700
26,U3R1,0.77415
26,U3R2,0.80080
27,D0R0,0.66270
27,D0R1,0.71730
27,D1R0,0.72013
27,D1R1,0.62154
27,D2R0,0.70362
27,D2R1,0.74856
27,D3R0,0.77721
27,D3R1,0.75221
27,MidR0,0.73653
27,MidR1,0.77191
27,U0R0,0.78818
27,U0R1,0.81755
27,U0R2,0.73417
27,U1R0,0.77167
27,U1R1,0.76353
27,U1R2,0.72579
27,U2R0,0.79054
27,U2R1,0.80328
27,U2R2,0.75646
27,U3R0,0.78865
27,U3R1,0.77568
27,U3R2,0.80186
28,D0R0,0.66317
28,D0R1,0.71777
28,D1R0,0.72202
28,D1R1,0.62802
28,D2R0,0.69914
28,D2R1,0.74856
28,D3R0,0.77898
28,D3R1,0.75351
28,MidR0,0.73770
28,MidR1,0.77615
28,U0R0,0.78712
28,U0R1,0.81236
28,U0R2,0.73322
28,U1R0,0.76978
28,U1R1,0.76743
28,U1R2,0.72851
28,U2R0,0.79184
28,U2R1,0.80469
28,U2R2,0.75905
28,U3R0,0.78512
28,U3R1,0.77533
28,U3R2,0.80186
29,D0R0,0.66659
29,D0R1,0.71931
29,D1R0,0.72803
29,D1R1,0.64265
29,D2R0,0.69548
29,D2R1,0.74514
29,D3R0,0.77934
29,D3R1,0.76000
29,MidR0,0.74325
29,MidR1,0.78028
29,U0R0,0.78170
29,U0R1,0.80670
29,U0R2,0.73299
29,U1R0,0.76896
29,U1R1,0.77486
29,U1R2,0.73299
29,U2R0,0.79514
29,U2R1,0.80611
29,U2R2,0.76778
29,U3R0,0.78122
29,U3R1,0.77497
29,U3R2,0.80234
30,D0R0,0.66576
30,D0R1,0.72049
30,D1R0,0.73240
30,D1R1,0.65527
30,D2R0,0.70008
30,D2R1,0.74549
30,D3R0,0.77379
30,D3R1,0.76672
30,MidR0,0.75198
30,MidR1,0.77851
30,U0R0,0.77757
30,U0R1,0.79915
30,U0R2,0.73370
30,U1R0,0.76495
30,U1R1,0.77580
30,U1R2,0.73181
30,U2R0,0.79467
30,U2R1,0.80493
30,U2R2,0.77379
30,U3R0,0.77497
30,U3R1,0.77391
30,U3R2,0.80528
31,D0R0,0.66989
31,D0R1,0.72556
31,D1R0,0.73594
31,D1R1,0.67142
31,D2R0,0.70515
31,D2R1,0.74702
31,D3R0,0.77356
31,D3R1,0.77226
31,MidR0,0.76023
31,MidR1,0.78134
31,U0R0,0.77403
31,U0R1,0.78865
31,U0R2,0.73841
31,U1R0,0.76518
31,U1R1,0.77721
31,U1R2,0.72969
31,U2R0,0.79007
31,U2R1,0.80009
31,U2R2,0.78099
31,U3R0,0.76837
31,U3R1,0.77132
31,U3R2,0.80410
32,D0R0,0.67201
32,D0R1,0.72957
32,D1R0,0.74455
32,D1R1,0.68746
32,D2R0,0.71282
32,D2R1,0.74962
32,D3R0,0.77474
32,D3R1,0.77733
32,MidR0,0.76648
32,MidR1,0.78264
32,U0R0,0.76978
32,U0R1,0.78122
32,U0R2,0.73806
32,U1R0,0.76330
32,U1R1,0.77379
32,U1R2,0.72733
32,U2R0,0.78653
32,U2R1,0.79561
32,U2R2,0.78535
32,U3R0,0.76058
32,U3R1,0.77085
32,U3R2,0.80151
33,D0R0,0.67744
33,D0R1,0.73228
33,D1R0,0.74903
