step,block_name,auc
38,U2R2,0.80857
38,U3R0,0.78565
38,U3R1,0.78417
38,U3R2,0.77281
39,D0R0,0.77076
39,D0R1,0.77902
39,D1R0,0.78729
39,D1R1,0.77268
39,D2R0,0.78955
39,D2R1,0.76803
39,D3R0,0.76517
39,D3R1,0.74109
39,MidR0,0.75524
39,MidR1,0.78204
39,U0R0,0.75514
39,U0R1,0.74858
39,U0R2,0.78140
39,U1R0,0.78780
39,U1R1,0.77512
39,U1R2,0.78818
39,U2R0,0.80513
39,U2R1,0.79839
39,U2R2,0.81031
39,U3R0,0.78492
39,U3R1,0.78467
39,U3R2,0.77195
40,D0R0,0.77033
40,D0R1,0.77704
40,D1R0,0.78338
40,D1R1,0.77365
40,D2R0,0.78785
40,D2R1,0.76335
40,D3R0,0.76431
40,D3R1,0.73789
40,MidR0,0.75797
40,MidR1,0.77937
40,U0R0,0.75310
40,U0R1,0.74898
40,U0R2,0.78091
40,U1R0,0.78718
40,U1R1,0.77141
40,U1R2,0.78541
40,U2R0,0.80607
40,U2R1,0.79827
40,U2R2,0.81117
40,U3R0,0.78452
40,U3R1,0.78570
40,U3R2,0.77103
41,D0R0,0.76998
41,D0R1,0.77531
41,D1R0,0.78019
41,D1R1,0.77499
41,D2R0,0.78646
41,D2R1,0.75848
41,D3R0,0.76440
41,D3R1,0.73607
41,MidR0,0.76197
41,MidR1,0.77615
41,U0R0,0.75194
41,U0R1,0.74928
41,U0R2,0.78129
41,U1R0,0.78538
41,U1R1,0.76846
41,U1R2,0.78374
41,U2R0,0.80642
41,U2R1,0.79851
41,U2R2,0.81164
41,U3R0,0.78443
41,U3R1,0.78545
41,U3R2,0.76953
42,D0R0,0.77017
42,D0R1,0.77324
42,D1R0,0.77746
42,D1R1,0.77658
42,D2R0,0.78494
42,D2R1,0.75228
42,D3R0,0.76362
42,D3R1,0.73327
42,MidR0,0.76386
42,MidR1,0.77241
42,U0R0,0.75045
42,U0R1,0.75037
42,U0R2,0.78046
42,U1R0,0.78432
42,U1R1,0.76472
42,U1R2,0.77986
42,U2R0,0.80671
42,U2R1,0.80006
42,U2R2,0.81101
42,U3R0,0.78405
42,U3R1,0.78406
42,U3R2,0.76724
43,D0R0,0.76947
43,D0R1,0.77155
43,D1R0,0.77548
43,D1R1,0.77809
43,D2R0,0.78338
43,D2R1,0.74938
43,D3R0,0.76243
43,D3R1,0.73076
43,MidR0,0.76509
43,MidR1,0.76985
43,U0R0,0.74749
43,U0R1,0.75097
43,U0R2,0.77933
43,U1R0,0.78392
43,U1R1,0.76178
43,U1R2,0.77707
43,U2R0,0.80622
43,U2R1,0.80159
43,U2R2,0.81055
43,U3R0,0.78370
43,U3R1,0.78425
43,U3R2,0.76466
44,D0R0,0.76913
44,D0R1,0.77055
44,D1R0,0.77469
44,D1R1,0.77903
44,D2R0,0.78241
44,D2R1,0.74637
44,D3R0,0.76156
44,D3R1,0.72915
44,MidR0,0.76651
44,MidR1,0.76851
44,U0R0,0.74599
44,U0R1,0.75320
44,U0R2,0.77769
44,U1R0,0.78441
44,U1R1,0.75756
44,U1R2,0.77348
44,U2R0,0.80574
44,U2R1,0.80252
44,U2R2,0.80989
44,U3R0,0.78416
44,U3R1,0.78298
44,U3R2,0.76216
45,D0R0,0.76824
45,D0R1,0.76947
45,D1R0,0.77472
45,D1R1,0.77930
45,D2R0,0.78120
45,D2R1,0.74594
45,D3R0,0.76183
45,D3R1,0.72913
45,MidR0,0.76773
45,MidR1,0.76544
45,U0R0,0.74417
45,U0R1,0.75493
45,U0R2,0.77386
45,U1R0,0.78637
45,U1R1,0.75485
45,U1R2,0.77076
45,U2R0,0.80364
45,U2R1,0.80321
45,U2R2,0.80951
45,U3R0,0.78505
45,U3R1,0.78284
45,U3R2,0.75990
46,D0R0,0.76811
46,D0R1,0.77028
46,D1R0,0.77451
46,D1R1,0.78023
46,D2R0,0.77879
46,D2R1,0.74884
46,D3R0,0.76108
46,D3R1,0.72905
46,MidR0,0.76671
46,MidR1,0.76327
46,U0R0,0.74129
46,U0R1,0.75688
46,U0R2,0.76880
46,U1R0,0.78915
46,U1R1,0.75528
46,U1R2,0.76692
46,U2R0,0.80198
46,U2R1,0.80316
46,U2R2,0.80854
46,U3R0,0.78591
46,U3R1,0.78193
46,U3R2,0.75817
47,D0R0,0.76749
47,D0R1,0.77101
47,D1R0,0.77274
47,D1R1,0.77746
47,D2R0,0.77551
47,D2R1,0.75057
47,D3R0,0.75906
47,D3R1,0.72967
47,MidR0,0.76557
47,MidR1,0.76275
47,U0R0,0.73986
47,U0R1,0.75734
47,U0R2,0.76143
47,U1R0,0.79138
47,U1R1,0.75415
